timestamp,order_id,status,user,sell_asset,buy_type,buy_quantity
2023-07-19,308486060,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A691 2023 Super-Speed Superior Flashpoint,ERC20,2.5
2023-07-19,308485324,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1550 2023 Puzzle Piece The Flash Top Right,ERC20,1.0
2023-07-19,308483992,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1738 2023 Puzzle Piece The Flash Bottom Right,ERC20,1.5
2023-07-19,308480285,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A754 2023 Super-Speed Common Golden Glider,ERC20,1.2
2023-07-19,308478917,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1521 2023 Puzzle Piece Harley Quinn Bottom Left,ERC20,2.0
2023-07-19,308475297,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A160 2023 Puzzle Superior Harley Quinn,ERC20,25.0
2023-07-19,308472437,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A752 2023 Super-Speed Uncommon Reverse-Flash,ERC20,1.79
2023-07-19,308472086,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A318 2023 Super-Speed Uncommon Inertia,ERC20,4.99
2023-07-19,308471596,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A139 2023 Super-Speed Superior Brightest Day,ERC20,12.0
2023-07-19,308471497,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A335 2023 Super-Speed Uncommon Johnny Quick,ERC20,3.99
2023-07-19,308471394,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A143 2023 Super-Speed Superior Mazahs! vs. Johhny Quick,ERC20,9.0
2023-07-19,308471089,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A436 2023 Super-Speed Uncommon Jesse Quick,ERC20,2.88
2023-07-19,308470709,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A427 2023 Super-Speed Superior The Flash vs. Turbine,ERC20,6.11
2023-07-19,308470489,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A398 2023 Super-Speed Superior Brightest Day,ERC20,5.0
2023-07-19,308469881,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A492 2023 Puzzle Piece The Flash Bottom Right,ERC20,3.99
2023-07-19,308467315,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A694 2023 Super-Speed Uncommon Reverse-Flash,ERC20,1.99
2023-07-19,308466319,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A623 2023 Super-Speed Epic Max Mercury,ERC20,7.5
2023-07-19,308466014,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A454 2023 Superman Universe Common Mister Miracle,ERC20,1.49
2023-07-19,308465846,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A315 2023 Superman Universe Common Phantom Zone Prisoners,ERC20,2.5
2023-07-19,308465723,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A349 2023 Superman Universe Common Big Barda,ERC20,1.49
2023-07-19,308465084,filled,0x007084b21ccf6d360fa002c0ab4f4d79b7d7ed61,A1160 2023 Puzzle Piece The Flash Bottom Right,ERC20,1.8
